season	obs	residual	yest.residual	yest.all.obs
1	1.788435261	-0.815174617	-0.815174617	1.079181246
1	1.605235809	-0.853982875	-0.815174617	1.788435261
1	1.424514031	-0.933616516	-0.853982875	1.605235809
1	1.426358081	-0.861564068	-0.933616516	1.424514031
1	1.794530435	-0.44381802	-0.861564068	1.426358081
1	2.214106113	0.008899126	-0.44381802	1.794530435
1	3.052244566	0.692793182	0.008899126	2.214106113
1	3.778575858	1.11458718	0.692793182	3.052244566
1	4.373506618	1.384145886	1.11458718	3.778575858
1	4.636408967	0.567856417	1.384145886	4.373506618
1	4.660170526	-0.117878524	0.567856417	4.636408967
1	4.423549396	-0.677658298	-0.117878524	4.660170526
1	4.081837607	-0.902678366	-0.677658298	4.423549396
1	3.734978508	-0.912345264	-0.902678366	4.081837607
1	3.471379312	-0.832089267	-0.912345264	3.734978508
1	3.226821824	-0.783367162	-0.832089267	3.471379312
1	2.979233113	-0.757240922	-0.783367162	3.226821824
1	2.793604447	-0.688054315	-0.757240922	2.979233113
1	2.635170906	-0.640914275	-0.688054315	2.793604447
1	2.486307648	-0.64158893	-0.640914275	2.635170906
1	2.370453832	-0.654274809	-0.64158893	2.486307648
1	2.300671096	-0.653170762	-0.654274809	2.370453832
1	2.284651338	-0.619976155	-0.653170762	2.300671096
1	2.278300456	-0.591025361	-0.619976155	2.284651338
1	2.256328306	-0.586444291	-0.591025361	2.278300456
1	2.200047968	-0.643519881	-0.586444291	2.256328306
1	2.133265657	-0.741279641	-0.643519881	2.200047968
1	2.086574585	-0.792868777	-0.741279641	2.133265657
1	2.07523764	-0.765876712	-0.792868777	2.086574585
1	2.07865493	-0.729631173	-0.765876712	2.07523764
1	2.063155171	-0.719985613	-0.729631173	2.07865493
1	2.024856217	-0.737847609	-0.719985613	2.063155171
1	1.964988055	-0.780130043	-0.737847609	2.024856217
1	1.919645217	-0.809587035	-0.780130043	1.964988055
1	1.889181826	-0.825128125	-0.809587035	1.919645217
1	1.891265066	-0.808670278	-0.825128125	1.889181826
1	1.893602995	-0.79228749	-0.808670278	1.891265066
1	1.895086751	-0.776929061	-0.79228749	1.893602995
1	1.876362089	-0.781880112	-0.776929061	1.895086751
1	1.883198211	-0.761316322	-0.781880112	1.876362089
1	1.976091132	-0.654719159	-0.761316322	1.883198211
1	2.220283687	-0.396877268	-0.654719159	1.976091132
1	2.607476223	-0.075252075	-0.396877268	2.220283687
1	3.058451424	0.159447072	-0.075252075	2.607476223
1	3.531252909	0.3895027	0.159447072	3.058451424
1	3.837580283	0.142513403	0.3895027	3.531252909
1	4.015057161	-0.241260191	0.142513403	3.837580283
1	3.984145563	-0.723074882	-0.241260191	4.015057161
1	3.867355196	-1.018673026	-0.723074882	3.984145563
1	3.626667229	-1.276058084	-1.018673026	3.867355196
1	3.386865047	-1.261012466	-1.276058084	3.626667229
1	3.124453511	-1.186124493	-1.261012466	3.386865047
1	2.931817337	-1.041391968	-1.186124493	3.124453511
