season	obs	residual	yest.residual	two.yest.residual	three.yest.residual	ma.2
1	1.788435261	-0.815174617	0	0	0	0
1	1.605235809	-0.853982875	-0.815174617	0	0	0
1	1.424514031	-0.933616516	-0.853982875	-0.815174617	0	-0.867591336
1	1.426358081	-0.861564068	-0.933616516	-0.853982875	-0.815174617	-0.883054486
1	1.794530435	-0.44381802	-0.861564068	-0.933616516	-0.853982875	-0.746332868
1	2.214106113	0.008899126	-0.44381802	-0.861564068	-0.933616516	-0.432160987
1	3.052244566	0.692793182	0.008899126	-0.44381802	-0.861564068	0.085958096
1	3.778575858	1.11458718	0.692793182	0.008899126	-0.44381802	0.605426496
1	4.373506618	1.384145886	1.11458718	0.692793182	0.008899126	1.063842083
1	4.636408967	0.567856417	1.384145886	1.11458718	0.692793182	1.022196494
1	4.660170526	-0.117878524	0.567856417	1.384145886	1.11458718	0.611374593
1	4.423549396	-0.677658298	-0.117878524	0.567856417	1.384145886	-0.075893468
1	4.081837607	-0.902678366	-0.677658298	-0.117878524	0.567856417	-0.566071729
1	3.734978508	-0.912345264	-0.902678366	-0.677658298	-0.117878524	-0.830893976
1	3.471379312	-0.832089267	-0.912345264	-0.902678366	-0.677658298	-0.882370965
1	3.226821824	-0.783367162	-0.832089267	-0.912345264	-0.902678366	-0.842600564
1	2.979233113	-0.757240922	-0.783367162	-0.832089267	-0.912345264	-0.790899117
1	2.793604447	-0.688054315	-0.757240922	-0.783367162	-0.832089267	-0.742887466
1	2.635170906	-0.640914275	-0.688054315	-0.757240922	-0.783367162	-0.695403171
1	2.486307648	-0.64158893	-0.640914275	-0.688054315	-0.757240922	-0.656852507
1	2.370453832	-0.654274809	-0.64158893	-0.640914275	-0.688054315	-0.645592671
1	2.300671096	-0.653170762	-0.654274809	-0.64158893	-0.640914275	-0.649678167
1	2.284651338	-0.619976155	-0.653170762	-0.654274809	-0.64158893	-0.642473909
1	2.278300456	-0.591025361	-0.619976155	-0.653170762	-0.654274809	-0.621390759
1	2.256328306	-0.586444291	-0.591025361	-0.619976155	-0.653170762	-0.599148602
1	2.200047968	-0.643519881	-0.586444291	-0.591025361	-0.619976155	-0.606996511
1	2.133265657	-0.741279641	-0.643519881	-0.586444291	-0.591025361	-0.657081271
1	2.086574585	-0.792868777	-0.741279641	-0.643519881	-0.586444291	-0.725889433
1	2.07523764	-0.765876712	-0.792868777	-0.741279641	-0.643519881	-0.766675043
1	2.07865493	-0.729631173	-0.765876712	-0.792868777	-0.741279641	-0.762792221
1	2.063155171	-0.719985613	-0.729631173	-0.765876712	-0.792868777	-0.738497833
1	2.024856217	-0.737847609	-0.719985613	-0.729631173	-0.765876712	-0.729154799
1	1.964988055	-0.780130043	-0.737847609	-0.719985613	-0.729631173	-0.745987755
1	1.919645217	-0.809587035	-0.780130043	-0.737847609	-0.719985613	-0.775854896
1	1.889181826	-0.825128125	-0.809587035	-0.780130043	-0.737847609	-0.804948401
1	1.891265066	-0.808670278	-0.825128125	-0.809587035	-0.780130043	-0.814461813
1	1.893602995	-0.79228749	-0.808670278	-0.825128125	-0.809587035	-0.808695297
1	1.895086751	-0.776929061	-0.79228749	-0.808670278	-0.825128125	-0.792628943
1	1.876362089	-0.781880112	-0.776929061	-0.79228749	-0.808670278	-0.783698887
1	1.883198211	-0.761316322	-0.781880112	-0.776929061	-0.79228749	-0.773375165
1	1.976091132	-0.654719159	-0.761316322	-0.781880112	-0.776929061	-0.732638531
1	2.220283687	-0.396877268	-0.654719159	-0.761316322	-0.781880112	-0.60430425
1	2.607476223	-0.075252075	-0.396877268	-0.654719159	-0.761316322	-0.375616168
1	3.058451424	0.159447072	-0.075252075	-0.396877268	-0.654719159	-0.104227424
1	3.531252909	0.3895027	0.159447072	-0.075252075	-0.396877268	0.157899232
1	3.837580283	0.142513403	0.3895027	0.159447072	-0.075252075	0.230487725
1	4.015057161	-0.241260191	0.142513403	0.3895027	0.159447072	0.096918638
1	3.984145563	-0.723074882	-0.241260191	0.142513403	0.3895027	-0.273940556
1	3.867355196	-1.018673026	-0.723074882	-0.241260191	0.142513403	-0.6610027
1	3.626667229	-1.276058084	-1.018673026	-0.723074882	-0.241260191	-1.005935331
1	3.386865047	-1.261012466	-1.276058084	-1.018673026	-0.723074882	-1.185247859
1	3.124453511	-1.186124493	-1.261012466	-1.276058084	-1.018673026	-1.241065014
1	2.931817337	-1.041391968	-1.186124493	-1.261012466	-1.276058084	-1.162842976
1	2.834357223	-0.844713169	-1.041391968	-1.186124493	-1.261012466	-1.024076543
1	2.819353656	-0.632010074	-0.844713169	-1.041391968	-1.186124493	-0.839371737
1	2.860996474	-0.427749008	-0.632010074	-0.844713169	-1.041391968	-0.634824083
1	2.852350352	-0.393545925	-0.427749008	-0.632010074	-0.844713169	-0.484435002
1	2.818219926	-0.402807991	-0.393545925	-0.427749008	-0.632010074	-0.408034308
1	2.762679549	-0.428215158	-0.402807991	-0.393545925	-0.427749008	-0.408189691
1	2.800312944	-0.3257991	-0.428215158	-0.402807991	-0.393545925	-0.385607417
1	2.883147911	-0.262954342	-0.3257991	-0.428215158	-0.402807991	-0.338989534
1	2.984457389	-0.231873393	-0.262954342	-0.3257991	-0.428215158	-0.273542279
