date	season	obs	yest.obs	four.day.obs	seven.day.obs	sixty.obs	cur.change.obs	forty.change.obs
1915-01-01	1	-0.172767812	2.48490665	0	0	0	-0.172767812	0
1915-01-02	1	0.046687967	-0.172767812	0	0	0	0.046687967	0
1915-01-03	1	0.209945539	0.046687967	2.48490665	0	0	-2.27496111	0
1915-01-04	1	0.264893236	0.209945539	-0.172767812	0	0	0.437661048	0
1915-01-05	1	0.167203991	0.264893236	0.046687967	0	0	0.120516025	0
1915-01-06	1	0.420457344	0.167203991	0.209945539	2.48490665	0	0.210511804	0
1915-01-07	1	0.8936339	0.420457344	0.264893236	-0.172767812	0	0.628740664	0
1915-01-08	1	1.094784465	0.8936339	0.167203991	0.046687967	0	0.927580474	0
1915-01-09	1	0.973757833	1.094784465	0.420457344	0.209945539	0	0.553300489	0
1915-01-10	1	0.719933993	0.973757833	0.8936339	0.264893236	0	-0.173699907	0
1915-01-11	1	0.553564918	0.719933993	1.094784465	0.167203991	0	-0.541219547	0
1915-01-12	1	1.506562363	0.553564918	0.973757833	0.420457344	0	0.53280453	0
1915-01-13	1	1.662019806	1.506562363	0.719933993	0.8936339	0	0.942085813	0
1915-01-14	1	1.730163476	1.662019806	0.553564918	1.094784465	0	1.176598558	0
1915-01-15	1	1.128743586	1.730163476	1.506562363	0.973757833	0	-0.377818778	0
1915-01-16	1	0.797267196	1.128743586	1.662019806	0.719933993	0	-0.864752609	0
1915-01-17	1	0.582806767	0.797267196	1.730163476	0.553564918	0	-1.147356708	0
1915-01-18	1	0.450509689	0.582806767	1.128743586	1.506562363	0	-0.678233897	0
1915-01-19	1	0.357499494	0.450509689	0.797267196	1.662019806	0	-0.439767702	0
1915-01-20	1	0.313211814	0.357499494	0.582806767	1.730163476	0	-0.269594954	0
1915-01-21	1	0.290310049	0.313211814	0.450509689	1.128743586	0	-0.16019964	0
1915-01-22	1	0.250934884	0.290310049	0.357499494	0.797267196	0	-0.10656461	0
1915-01-23	1	0.218278921	0.250934884	0.313211814	0.582806767	0	-0.094932892	0
1915-01-24	1	0.242870324	0.218278921	0.290310049	0.450509689	0	-0.047439725	0
1915-01-25	1	0.286441572	0.242870324	0.250934884	0.357499494	0	0.035506688	0
1915-01-26	1	0.766568209	0.286441572	0.218278921	0.313211814	0	0.548289288	0
1915-01-27	1	1.246712098	0.766568209	0.242870324	0.290310049	0	1.003841774	0
1915-01-28	1	1.529187763	1.246712098	0.286441572	0.250934884	0	1.24274619	0
1915-01-29	1	1.670796069	1.529187763	0.766568209	0.218278921	0	0.904227859	0
1915-01-30	1	2.33638245	1.670796069	1.246712098	0.242870324	0	1.089670351	0
1915-01-31	1	3.028531128	2.33638245	1.529187763	0.286441572	0	1.499343365	0
1915-02-01	2	3.316462919	3.028531128	1.670796069	0.766568209	0	1.645666851	0
1915-02-02	2	3.223509511	3.316462919	2.33638245	1.246712098	0	0.887127061	0
1915-02-03	2	2.778749704	3.223509511	3.028531128	1.529187763	0	-0.249781424	0
1915-02-04	2	2.224569581	2.778749704	3.316462919	1.670796069	0	-1.091893338	0
1915-02-05	2	2.085923088	2.224569581	3.223509511	2.33638245	0	-1.137586423	0
1915-02-06	2	2.252631945	2.085923088	2.778749704	3.028531128	0	-0.526117759	0
1915-02-07	2	2.862067188	2.252631945	2.224569581	3.316462919	0	0.637497607	0
1915-02-08	2	3.09425526	2.862067188	2.085923088	3.223509511	0	1.008332172	0
1915-02-09	2	3.140860313	3.09425526	2.252631945	2.778749704	0	0.888228368	3.313628125
1915-02-10	2	2.793390322	3.140860313	2.862067188	2.224569581	0	-0.068676866	2.746702356
1915-02-11	2	2.390764781	2.793390322	3.09425526	2.085923088	0	-0.703490479	2.180819241
1915-02-12	2	2.019673702	2.390764781	3.140860313	2.252631945	0	-1.121186611	1.754780466
1915-02-13	2	1.810980041	2.019673702	2.793390322	2.862067188	0	-0.982410281	1.64377605
1915-02-14	2	1.732904455	1.810980041	2.390764781	3.09425526	0	-0.657860325	1.312447111
1915-02-15	2	2.284143231	1.732904455	2.019673702	3.140860313	0	0.264469528	1.39050933
1915-02-16	2	2.891711904	2.284143231	1.810980041	2.793390322	0	1.080731863	1.796927439
1915-02-17	2	3.122841807	2.891711904	1.732904455	2.390764781	0	1.389937352	2.149083975
1915-02-18	2	3.081072395	3.122841807	2.284143231	2.019673702	0	0.796929164	2.361138402
1915-02-19	2	2.799375534	3.081072395	2.891711904	1.810980041	0	-0.09233637	2.245810617
1915-02-20	2	2.627800051	2.799375534	3.122841807	1.732904455	0	-0.495041756	1.121237688
1915-02-21	2	2.475884009	2.627800051	3.081072395	2.284143231	0	-0.605188385	0.813864204
1915-02-22	2	2.320792494	2.475884009	2.799375534	2.891711904	0	-0.478583041	0.590629018
1915-02-23	2	2.196271145	2.320792494	2.627800051	3.122841807	0	-0.431528906	1.067527559
1915-02-24	2	2.087844318	2.196271145	2.475884009	3.081072395	0	-0.388039691	1.290577122
1915-02-25	2	2.021726389	2.087844318	2.320792494	2.799375534	0	-0.299066105	1.438919621
1915-02-26	2	2.19512238	2.021726389	2.196271145	2.627800051	0	-0.001148765	1.744612691
1915-02-27	2	2.265034369	2.19512238	2.087844318	2.475884009	0	0.177190051	1.907534875
1915-02-28	2	2.30392524	2.265034369	2.021726389	2.320792494	0	0.282198851	1.990713426
1915-03-01	3	2.059947601	2.30392524	2.19512238	2.196271145	0	-0.135174778	1.769637552
1915-03-02	3	1.905906565	2.059947601	2.265034369	2.087844318	1.529187763	-0.359127804	1.654971681
1915-03-03	3	1.74198717	1.905906565	2.30392524	2.021726389	1.670796069	-0.56193807	1.523708249
1915-03-04	3	1.662998758	1.74198717	2.059947601	2.19512238	2.33638245	-0.396948843	1.420128434
1915-03-05	3	1.584666915	1.662998758	1.905906565	2.265034369	3.028531128	-0.32123965	1.298225343
1915-03-06	3	1.519069633	1.584666915	1.74198717	2.30392524	3.316462919	-0.222917537	0.752501423
1915-03-07	3	1.472818615	1.519069633	1.662998758	2.059947601	3.223509511	-0.190180143	0.226106516
1915-03-08	3	1.454907688	1.472818615	1.584666915	1.905906565	2.778749704	-0.129759227	-0.074280074
1915-03-09	3	1.442786328	1.454907688	1.519069633	1.74198717	2.224569581	-0.076283305	-0.228009741
1915-03-10	3	1.420590595	1.442786328	1.472818615	1.662998758	2.085923088	-0.052228019	-0.915791854
1915-03-11	3	1.385053861	1.420590595	1.454907688	1.584666915	2.252631945	-0.069853827	-1.643477267
1915-03-12	3	1.435442354	1.385053861	1.442786328	1.519069633	2.862067188	-0.007343974	-1.881020566
1915-03-13	3	1.504271411	1.435442354	1.420590595	1.472818615	3.09425526	0.083680816	-1.719238099
1915-03-14	3	1.644232775	1.504271411	1.385053861	1.454907688	3.140860313	0.259178914	-1.134516929
1915-03-15	3	1.744695975	1.644232775	1.435442354	1.442786328	2.793390322	0.309253621	-0.479873606
1915-03-16	3	1.873935031	1.744695975	1.504271411	1.420590595	2.390764781	0.369663619	-0.211988057
1915-03-17	3	1.926416209	1.873935031	1.644232775	1.385053861	2.019673702	0.282183433	-0.326215736
1915-03-18	3	1.978423534	1.926416209	1.744695975	1.435442354	1.810980041	0.233727559	-0.883643654
1915-03-19	3	1.98695237	1.978423534	1.873935031	1.504271411	1.732904455	0.11301734	-1.107302889
1915-03-20	3	1.99540908	1.98695237	1.926416209	1.644232775	2.284143231	0.068992871	-1.145451233
1915-03-21	3	2.064542293	1.99540908	1.978423534	1.744695975	2.891711904	0.086118759	-0.728848029
1915-03-22	3	2.168329863	2.064542293	1.98695237	1.873935031	3.122841807	0.181377493	-0.222434918
1915-03-23	3	2.254258403	2.168329863	1.99540908	1.926416209	3.081072395	0.258849322	0.2345847
1915-03-24	3	2.268244645	2.254258403	2.064542293	1.978423534	2.799375534	0.203702352	0.457264603
1915-03-25	3	2.239524166	2.268244645	2.168329863	1.98695237	2.627800051	0.071194303	0.506619711
1915-03-26	3	2.343344188	2.239524166	2.254258403	1.99540908	2.475884009	0.089085786	0.059200958
1915-03-27	3	2.554724071	2.343344188	2.268244645	2.064542293	2.320792494	0.286479426	-0.336987833
1915-03-28	3	2.596748712	2.554724071	2.239524166	2.168329863	2.196271145	0.357224545	-0.526093096
1915-03-29	3	2.495226972	2.596748712	2.343344188	2.254258403	2.087844318	0.151882784	-0.585845422
1915-03-30	3	2.226799236	2.495226972	2.554724071	2.268244645	2.021726389	-0.327924835	-0.572576298
