date	season	obs	yest.obs	two.yest.obs	cur.change.obs
1915-01-01	1	-0.172767812	2.48490665	0	-2.657674461
1915-01-02	1	0.046687967	-0.172767812	0	0.219455778
1915-01-03	1	0.209945539	0.046687967	-0.172767812	0.163257573
1915-01-04	1	0.264893236	0.209945539	0.046687967	0.054947697
1915-01-05	1	0.167203991	0.264893236	0.209945539	-0.097689245
1915-01-06	1	0.420457344	0.167203991	0.264893236	0.253253353
1915-01-07	1	0.8936339	0.420457344	0.167203991	0.473176556
1915-01-08	1	1.094784465	0.8936339	0.420457344	0.201150565
1915-01-09	1	0.973757833	1.094784465	0.8936339	-0.121026632
1915-01-10	1	0.719933993	0.973757833	1.094784465	-0.25382384
1915-01-11	1	0.553564918	0.719933993	0.973757833	-0.166369075
1915-01-12	1	1.506562363	0.553564918	0.719933993	0.952997445
1915-01-13	1	1.662019806	1.506562363	0.553564918	0.155457443
1915-01-14	1	1.730163476	1.662019806	1.506562363	0.06814367
1915-01-15	1	1.128743586	1.730163476	1.662019806	-0.60141989
1915-01-16	1	0.797267196	1.128743586	1.730163476	-0.331476389
1915-01-17	1	0.582806767	0.797267196	1.128743586	-0.214460429
1915-01-18	1	0.450509689	0.582806767	0.797267196	-0.132297079
1915-01-19	1	0.357499494	0.450509689	0.582806767	-0.093010195
1915-01-20	1	0.313211814	0.357499494	0.450509689	-0.04428768
1915-01-21	1	0.290310049	0.313211814	0.357499494	-0.022901764
1915-01-22	1	0.250934884	0.290310049	0.313211814	-0.039375165
1915-01-23	1	0.218278921	0.250934884	0.290310049	-0.032655963
1915-01-24	1	0.242870324	0.218278921	0.250934884	0.024591403
1915-01-25	1	0.286441572	0.242870324	0.218278921	0.043571248
1915-01-26	1	0.766568209	0.286441572	0.242870324	0.480126637
1915-01-27	1	1.246712098	0.766568209	0.286441572	0.480143889
1915-01-28	1	1.529187763	1.246712098	0.766568209	0.282475664
1915-01-29	1	1.670796069	1.529187763	1.246712098	0.141608306
1915-01-30	1	2.33638245	1.670796069	1.529187763	0.665586381
1915-01-31	1	3.028531128	2.33638245	1.670796069	0.692148678
1915-02-01	2	3.316462919	3.028531128	2.33638245	0.287931792
1915-02-02	2	3.223509511	3.316462919	3.028531128	-0.092953409
1915-02-03	2	2.778749704	3.223509511	3.316462919	-0.444759807
1915-02-04	2	2.224569581	2.778749704	3.223509511	-0.554180123
1915-02-05	2	2.085923088	2.224569581	2.778749704	-0.138646493
1915-02-06	2	2.252631945	2.085923088	2.224569581	0.166708857
1915-02-07	2	2.862067188	2.252631945	2.085923088	0.609435243
1915-02-08	2	3.09425526	2.862067188	2.252631945	0.232188072
1915-02-09	2	3.140860313	3.09425526	2.862067188	0.046605053
1915-02-10	2	2.793390322	3.140860313	3.09425526	-0.347469991
