date	season	obs	yest.obs	two.yest.obs	three.yest.obs
1915-01-01	1	0.84133294	0	0	0
1915-01-02	1	1.047795011	0.84133294	0	0
1915-01-03	1	1.233610875	1.047795011	0.84133294	0
1915-01-04	1	1.303291824	1.233610875	1.047795011	0.84133294
1915-01-05	1	1.181995357	1.303291824	1.233610875	1.047795011
1915-01-06	1	1.522657775	1.181995357	1.303291824	1.233610875
1915-01-07	1	2.443994767	1.522657775	1.181995357	1.303291824
1915-01-08	1	2.98853848	2.443994767	1.522657775	1.181995357
1915-01-09	1	2.647876062	2.98853848	2.443994767	1.522657775
1915-01-10	1	2.054297608	2.647876062	2.98853848	2.443994767
1915-01-11	1	1.739442949	2.054297608	2.647876062	2.98853848
1915-01-12	1	4.511196254	1.739442949	2.054297608	2.647876062
1915-01-13	1	5.269944366	4.511196254	1.739442949	2.054297608
1915-01-14	1	5.641576094	5.269944366	4.511196254	1.739442949
1915-01-15	1	3.091769515	5.641576094	5.269944366	4.511196254
1915-01-16	1	2.219467265	3.091769515	5.641576094	5.269944366
1915-01-17	1	1.791058467	2.219467265	3.091769515	5.641576094
1915-01-18	1	1.569111741	1.791058467	2.219467265	3.091769515
1915-01-19	1	1.429749843	1.569111741	1.791058467	2.219467265
1915-01-20	1	1.367811221	1.429749843	1.569111741	1.791058467
1915-01-21	1	1.336841911	1.367811221	1.429749843	1.569111741
1915-01-22	1	1.285226393	1.336841911	1.367811221	1.429749843
1915-01-23	1	1.243933979	1.285226393	1.336841911	1.367811221
1915-01-24	1	1.274903289	1.243933979	1.285226393	1.336841911
1915-01-25	1	1.331680359	1.274903289	1.243933979	1.285226393
1915-01-26	1	2.152367092	1.331680359	1.274903289	1.243933979
1915-01-27	1	3.478885899	2.152367092	1.331680359	1.274903289
1915-01-28	1	4.61442729	3.478885899	2.152367092	1.331680359
1915-01-29	1	5.316398332	4.61442729	3.478885899	2.152367092
1915-01-30	1	10.34374976	5.316398332	4.61442729	3.478885899
1915-01-31	1	20.66685332	10.34374976	5.316398332	4.61442729
1915-02-01	2	27.5626865	20.66685332	10.34374976	5.316398332
1915-02-02	2	25.11611095	27.5626865	20.66685332	10.34374976
1915-02-03	2	16.09888	25.11611095	27.5626865	20.66685332
1915-02-04	2	9.249500787	16.09888	25.11611095	27.5626865
1915-02-05	2	8.052020774	9.249500787	16.09888	25.11611095
1915-02-06	2	9.512739927	8.052020774	9.249500787	16.09888
1915-02-07	2	17.49766053	9.512739927	8.052020774	9.249500787
1915-02-08	2	22.0707954	17.49766053	9.512739927	8.052020774
1915-02-09	2	23.12375197	22.0707954	17.49766053	9.512739927
1915-02-10	2	16.33631138	23.12375197	22.0707954	17.49766053
1915-02-11	2	10.92184356	16.33631138	23.12375197	22.0707954
1915-02-12	2	7.535865596	10.92184356	16.33631138	23.12375197
1915-02-13	2	6.116438857	7.535865596	10.92184356	16.33631138
1915-02-14	2	5.657060749	6.116438857	7.535865596	10.92184356
1915-02-15	2	9.817271482	5.657060749	6.116438857	7.535865596
1915-02-16	2	18.02413881	9.817271482	5.657060749	6.116438857
1915-02-17	2	22.71082782	18.02413881	9.817271482	5.657060749
1915-02-18	2	21.7817485	22.71082782	18.02413881	9.817271482
1915-02-19	2	16.43438086	21.7817485	22.71082782	18.02413881
1915-02-20	2	13.84328187	16.43438086	21.7817485	22.71082782
1915-02-21	2	11.8922153	13.84328187	16.43438086	21.7817485
1915-02-22	2	10.18374166	11.8922153	13.84328187	16.43438086
1915-02-23	2	8.991423198	10.18374166	11.8922153	13.84328187
1915-02-24	2	8.06750543	8.991423198	10.18374166	11.8922153
1915-02-25	2	7.551350252	8.06750543	8.991423198	10.18374166
1915-02-26	2	8.981100094	7.551350252	8.06750543	8.991423198
1915-02-27	2	9.631455618	8.981100094	7.551350252	8.06750543
1915-02-28	2	10.01341045	9.631455618	8.981100094	7.551350252
1915-03-01	3	7.845558703	10.01341045	9.631455618	8.981100094
1915-03-02	3	6.725501967	7.845558703	10.01341045	9.631455618
1915-03-03	3	5.708676267	6.725501967	7.845558703	10.01341045
1915-03-04	3	5.275105917	5.708676267	6.725501967	7.845558703
1915-03-05	3	4.877666431	5.275105917	5.708676267	6.725501967
1915-03-06	3	4.567973324	4.877666431	5.275105917	5.708676267
1915-03-07	3	4.361511253	4.567973324	4.877666431	5.275105917
1915-03-08	3	4.284087976	4.361511253	4.567973324	4.877666431
1915-03-09	3	4.232472458	4.284087976	4.361511253	4.567973324
1915-03-10	3	4.139564526	4.232472458	4.284087976	4.361511253
1915-03-11	3	3.995041076	4.139564526	4.232472458	4.284087976
1915-03-12	3	4.201503148	3.995041076	4.139564526	4.232472458
1915-03-13	3	4.500873151	4.201503148	3.995041076	4.139564526
1915-03-14	3	5.177036434	4.500873151	4.201503148	3.995041076
1915-03-15	3	5.724160922	5.177036434	4.500873151	4.201503148
1915-03-16	3	6.513878344	5.724160922	5.177036434	4.500873151
1915-03-17	3	6.864863865	6.513878344	5.724160922	5.177036434
1915-03-18	3	7.231334041	6.864863865	6.513878344	5.724160922
1915-03-19	3	7.293272663	7.231334041	6.864863865	6.513878344
1915-03-20	3	7.355211284	7.293272663	7.231334041	6.864863865
1915-03-21	3	7.881689565	7.355211284	7.293272663	7.231334041
1915-03-22	3	8.743668712	7.881689565	7.355211284	7.293272663
1915-03-23	3	9.528224583	8.743668712	7.881689565	7.355211284
1915-03-24	3	9.662424929	9.528224583	8.743668712	7.881689565
1915-03-25	3	9.388862685	9.662424929	9.528224583	8.743668712
1915-03-26	3	10.41601149	9.388862685	9.662424929	9.528224583
1915-03-27	3	12.86774858	10.41601149	9.388862685	9.662424929
1915-03-28	3	13.42003462	12.86774858	10.41601149	9.388862685
1915-03-29	3	12.12448513	13.42003462	12.86774858	10.41601149
1915-03-30	3	9.270146994	12.12448513	13.42003462	12.86774858
1915-03-31	3	8.320421467	9.270146994	12.12448513	13.42003462
1915-04-01	4	8.867545955	8.320421467	9.270146994	12.12448513
1915-04-02	4	9.92566407	8.867545955	8.320421467	9.270146994
1915-04-03	4	11.48445271	9.92566407	8.867545955	8.320421467
1915-04-04	4	11.48445271	11.48445271	9.92566407	8.867545955
1915-04-05	4	10.42633459	11.48445271	11.48445271	9.92566407
1915-04-06	4	8.99658475	10.42633459	11.48445271	11.48445271
1915-04-07	4	8.449460261	8.99658475	10.42633459	11.48445271
1915-04-08	4	8.449460261	8.449460261	8.99658475	10.42633459
1915-04-09	4	10.38504218	8.449460261	8.449460261	8.99658475
1915-04-10	4	12.01609254	10.38504218	8.449460261	8.449460261
1915-04-11	4	14.50912205	12.01609254	10.38504218	8.449460261
1915-04-12	4	14.33879084	14.50912205	12.01609254	10.38504218
1915-04-13	4	14.96333861	14.33879084	14.50912205	12.01609254
1915-04-14	4	15.47949378	14.96333861	14.33879084	14.50912205
1915-04-15	4	17.29119846	15.47949378	14.96333861	14.33879084
1915-04-16	4	18.47835537	17.29119846	15.47949378	14.96333861
1915-04-17	4	19.25258813	18.47835537	17.29119846	15.47949378
1915-04-18	4	19.87197435	19.25258813	18.47835537	17.29119846
1915-04-19	4	19.30420365	19.87197435	19.25258813	18.47835537
1915-04-20	4	17.80735364	19.30420365	19.87197435	19.25258813
1915-04-21	4	15.72208672	17.80735364	19.30420365	19.87197435
1915-04-22	4	13.82779721	15.72208672	17.80735364	19.30420365
1915-04-23	4	12.22255461	13.82779721	15.72208672	17.80735364
1915-04-24	4	10.51408097	12.22255461	13.82779721	15.72208672
1915-04-25	4	9.941148725	10.51408097	12.22255461	13.82779721
1915-04-26	4	11.0250746	9.941148725	10.51408097	12.22255461
1915-04-27	4	12.73354824	11.0250746	9.941148725	10.51408097
1915-04-28	4	14.47815274	12.73354824	11.0250746	9.941148725
1915-04-29	4	13.39422686	14.47815274	12.73354824	11.0250746
1915-04-30	4	11.41735253	13.39422686	14.47815274	12.73354824
1915-05-01	5	8.872707507	11.41735253	13.39422686	14.47815274
1915-05-02	5	7.747489219	8.872707507	11.41735253	13.39422686
1915-05-03	5	7.16939542	7.747489219	8.872707507	11.41735253
1915-05-04	5	7.045518177	7.16939542	7.747489219	8.872707507
1915-05-05	5	7.48941163	7.045518177	7.16939542	7.747489219
1915-05-06	5	8.201705776	7.48941163	7.045518177	7.16939542
1915-05-07	5	9.264985442	8.201705776	7.48941163	7.045518177
1915-05-08	5	21.61657885	9.264985442	8.201705776	7.48941163
