date	season	obs	yest.obs	two.yest.obs	three.yest.obs
1915-01-01	1	-0.172767812	0	0	0
1915-01-02	1	0.046687967	-0.172767812	0	0
1915-01-03	1	0.209945539	0.046687967	-0.172767812	0
1915-01-04	1	0.264893236	0.209945539	0.046687967	-0.172767812
1915-01-05	1	0.167203991	0.264893236	0.209945539	0.046687967
1915-01-06	1	0.420457344	0.167203991	0.264893236	0.209945539
1915-01-07	1	0.8936339	0.420457344	0.167203991	0.264893236
1915-01-08	1	1.094784465	0.8936339	0.420457344	0.167203991
1915-01-09	1	0.973757833	1.094784465	0.8936339	0.420457344
1915-01-10	1	0.719933993	0.973757833	1.094784465	0.8936339
1915-01-11	1	0.553564918	0.719933993	0.973757833	1.094784465
1915-01-12	1	1.506562363	0.553564918	0.719933993	0.973757833
1915-01-13	1	1.662019806	1.506562363	0.553564918	0.719933993
1915-01-14	1	1.730163476	1.662019806	1.506562363	0.553564918
1915-01-15	1	1.128743586	1.730163476	1.662019806	1.506562363
1915-01-16	1	0.797267196	1.128743586	1.730163476	1.662019806
1915-01-17	1	0.582806767	0.797267196	1.128743586	1.730163476
1915-01-18	1	0.450509689	0.582806767	0.797267196	1.128743586
1915-01-19	1	0.357499494	0.450509689	0.582806767	0.797267196
1915-01-20	1	0.313211814	0.357499494	0.450509689	0.582806767
1915-01-21	1	0.290310049	0.313211814	0.357499494	0.450509689
1915-01-22	1	0.250934884	0.290310049	0.313211814	0.357499494
1915-01-23	1	0.218278921	0.250934884	0.290310049	0.313211814
1915-01-24	1	0.242870324	0.218278921	0.250934884	0.290310049
1915-01-25	1	0.286441572	0.242870324	0.218278921	0.250934884
1915-01-26	1	0.766568209	0.286441572	0.242870324	0.218278921
1915-01-27	1	1.246712098	0.766568209	0.286441572	0.242870324
1915-01-28	1	1.529187763	1.246712098	0.766568209	0.286441572
1915-01-29	1	1.670796069	1.529187763	1.246712098	0.766568209
1915-01-30	1	2.33638245	1.670796069	1.529187763	1.246712098
1915-01-31	1	3.028531128	2.33638245	1.670796069	1.529187763
1915-02-01	1	3.316462919	3.028531128	2.33638245	1.670796069
1915-02-02	1	3.223509511	3.316462919	3.028531128	2.33638245
1915-02-03	1	2.778749704	3.223509511	3.316462919	3.028531128
1915-02-04	1	2.224569581	2.778749704	3.223509511	3.316462919
1915-02-05	1	2.085923088	2.224569581	2.778749704	3.223509511
1915-02-06	1	2.252631945	2.085923088	2.224569581	2.778749704
1915-02-07	1	2.862067188	2.252631945	2.085923088	2.224569581
1915-02-08	1	3.09425526	2.862067188	2.252631945	2.085923088
1915-02-09	1	3.140860313	3.09425526	2.862067188	2.252631945
1915-02-10	1	2.793390322	3.140860313	3.09425526	2.862067188
1915-02-11	1	2.390764781	2.793390322	3.140860313	3.09425526
1915-02-12	1	2.019673702	2.390764781	2.793390322	3.140860313
1915-02-13	1	1.810980041	2.019673702	2.390764781	2.793390322
1915-02-14	1	1.732904455	1.810980041	2.019673702	2.390764781
1915-02-15	1	2.284143231	1.732904455	1.810980041	2.019673702
1915-02-16	1	2.891711904	2.284143231	1.732904455	1.810980041
1915-02-17	1	3.122841807	2.891711904	2.284143231	1.732904455
1915-02-18	1	3.081072395	3.122841807	2.891711904	2.284143231
1915-02-19	1	2.799375534	3.081072395	3.122841807	2.891711904
1915-02-20	1	2.627800051	2.799375534	3.081072395	3.122841807
1915-02-21	1	2.475884009	2.627800051	2.799375534	3.081072395
1915-02-22	1	2.320792494	2.475884009	2.627800051	2.799375534
1915-02-23	1	2.196271145	2.320792494	2.475884009	2.627800051
1915-02-24	1	2.087844318	2.196271145	2.320792494	2.475884009
