date	season	obs
1915-01-01	1	-0.172767812
1915-01-02	1	0.046687967
1915-01-03	1	0.209945539
1915-01-04	1	0.264893236
1915-01-05	1	0.167203991
1915-01-06	1	0.420457344
1915-01-07	1	0.8936339
1915-01-08	1	1.094784465
1915-01-09	1	0.973757833
1915-01-10	1	0.719933993
1915-01-11	1	0.553564918
1915-01-12	1	1.506562363
1915-01-13	1	1.662019806
1915-01-14	1	1.730163476
1915-01-15	1	1.128743586
1915-01-16	1	0.797267196
1915-01-17	1	0.582806767
1915-01-18	1	0.450509689
1915-01-19	1	0.357499494
1915-01-20	1	0.313211814
1915-01-21	1	0.290310049
1915-01-22	1	0.250934884
1915-01-23	1	0.218278921
1915-01-24	1	0.242870324
1915-01-25	1	0.286441572
1915-01-26	1	0.766568209
1915-01-27	1	1.246712098
1915-01-28	1	1.529187763
1915-01-29	1	1.670796069
1915-01-30	1	2.33638245
1915-01-31	1	3.028531128
1915-02-01	1	3.316462919
1915-02-02	1	3.223509511
1915-02-03	1	2.778749704
1915-02-04	1	2.224569581
1915-02-05	1	2.085923088
1915-02-06	1	2.252631945
1915-02-07	1	2.862067188
1915-02-08	1	3.09425526
1915-02-09	1	3.140860313
1915-02-10	1	2.793390322
1915-02-11	1	2.390764781
1915-02-12	1	2.019673702
1915-02-13	1	1.810980041
1915-02-14	1	1.732904455
1915-02-15	1	2.284143231
1915-02-16	1	2.891711904
1915-02-17	1	3.122841807
1915-02-18	1	3.081072395
1915-02-19	1	2.799375534
1915-02-20	1	2.627800051
1915-02-21	1	2.475884009
1915-02-22	1	2.320792494
1915-02-23	1	2.196271145
1915-02-24	1	2.087844318
1915-02-25	1	2.021726389
1915-02-26	1	2.19512238
1915-02-27	1	2.265034369
1915-02-28	1	2.30392524
1915-03-01	1	2.059947601
1915-03-02	1	1.905906565
1915-03-03	1	1.74198717
1915-03-04	1	1.662998758
1915-03-05	1	1.584666915
1915-03-06	1	1.519069633
1915-03-07	1	1.472818615
1915-03-08	1	1.454907688
1915-03-09	1	1.442786328
1915-03-10	1	1.420590595
1915-03-11	1	1.385053861
1915-03-12	1	1.435442354
1915-03-13	1	1.504271411
1915-03-14	1	1.644232775
1915-03-15	1	1.744695975
1915-03-16	1	1.873935031
1915-03-17	1	1.926416209
1915-03-18	1	1.978423534
1915-03-19	1	1.98695237
1915-03-20	1	1.99540908
1915-03-21	1	2.064542293
1915-03-22	1	2.168329863
1915-03-23	1	2.254258403
1915-03-24	1	2.268244645
1915-03-25	1	2.239524166
1915-03-26	1	2.343344188
1915-03-27	1	2.554724071
1915-03-28	1	2.596748712
1915-03-29	1	2.495226972
1915-03-30	1	2.226799236
1915-03-31	1	2.118712911
1915-04-01	1	2.18239809
1915-04-02	1	2.295123733
1915-04-03	1	2.440994182
1915-04-04	1	2.440994182
1915-04-05	1	2.344334778
1915-04-06	1	2.196845033
1915-04-07	1	2.134102565
1915-04-08	1	2.134102565
1915-04-09	1	2.340366519
1915-04-10	1	2.486246796
1915-04-11	1	2.674777558
1915-04-12	1	2.662968511
1915-04-13	1	2.705603116
1915-04-14	1	2.739516166
1915-04-15	1	2.850197612
1915-04-16	1	2.916600067
1915-04-17	1	2.9576455
1915-04-18	1	2.989310415
1915-04-19	1	2.960322878
1915-04-20	1	2.879611498
1915-04-21	1	2.755066521
1915-04-22	1	2.626680857
1915-04-23	1	2.503282984
1915-04-24	1	2.352715404
1915-04-25	1	2.29668258
1915-04-26	1	2.400172188
1915-04-27	1	2.544240104
1915-04-28	1	2.672640805
1915-04-29	1	2.594823783
1915-04-30	1	2.43513435
1915-05-01	0	2.182979993
1915-05-02	0	2.047368819
1915-05-03	0	1.96982133
1915-05-04	0	1.952391695
1915-05-05	0	2.01349024
1915-05-06	0	2.104342154
1915-05-07	0	2.226242288
1915-05-08	0	3.07346056
1915-05-09	0	3.581273052
1915-05-10	0	3.989751291
1915-05-11	0	4.021708898
1915-05-12	0	3.972409816
1915-05-13	0	3.784826628
1915-05-14	0	3.644067706
1915-05-15	0	3.525272012
1915-05-16	0	3.469007173
1915-05-17	0	3.424628486
1915-05-18	0	3.351425082
1915-05-19	0	3.214011195
1915-05-20	0	3.061933054
1915-05-21	0	2.962993106
1915-05-22	0	2.922171112
1915-05-23	0	2.930469915
1915-05-24	0	2.90818487
1915-05-25	0	2.916600067
1915-05-26	0	3.01241799
1915-05-27	0	3.125111956
1915-05-28	0	3.16729357
1915-05-29	0	3.129636851
1915-05-30	0	3.109111615
1915-05-31	0	3.109111615
1915-06-01	0	3.064345601
1915-06-02	0	2.960322878
1915-06-03	0	2.867949558
1915-06-04	0	2.847208074
1915-06-05	0	2.899698256
1915-06-06	0	2.960322878
1915-06-07	0	2.989310415
1915-06-08	0	2.949570086
1915-06-09	0	2.867949558
1915-06-10	0	2.735171966
1915-06-11	0	2.592895142
1915-06-12	0	2.459253429
1915-06-13	0	2.40391051
1915-06-14	0	2.40391051
1915-06-15	0	2.391237259
1915-06-16	0	2.351733085
1915-06-17	0	2.29668258
1915-06-18	0	2.240073768
1915-06-19	0	2.180650347
1915-06-20	0	2.118712911
1915-06-21	0	2.086563908
1915-06-22	0	2.05400895
1915-06-23	0	2.004490526
1915-06-24	0	1.927167806
1915-06-25	0	1.845809432
1915-06-26	0	1.789657272
1915-06-27	0	1.770509602
1915-06-28	0	1.770509602
1915-06-29	0	1.76168342
1915-06-30	0	1.732904455
1915-07-01	0	1.703272657
1915-07-02	0	1.672735934
1915-07-03	0	1.622054447
1915-07-04	0	1.535876751
1915-07-05	0	1.432982328
1915-07-06	0	1.321032002
1915-07-07	0	1.2407597
1915-07-08	0	1.198070291
1915-07-09	0	1.18395241
1915-07-10	0	1.169632356
1915-07-11	0	1.155104255
1915-07-12	0	1.125399101
1915-07-13	0	1.079118348
1915-07-14	0	0.991149575
1915-07-15	0	0.898899842
1915-07-16	0	0.792605183
1915-07-17	0	0.702189548
1915-07-18	0	0.633379341
1915-07-19	0	0.571212435
1915-07-20	0	0.51730717
1915-07-21	0	0.469731652
1915-07-22	0	0.460003949
1915-07-23	0	0.460003949
1915-07-24	0	0.434259953
1915-07-25	0	0.372548147
1915-07-26	0	0.299916271
1915-07-27	0	0.233514958
1915-07-28	0	0.15534354
1915-07-29	0	0.077728286
1915-07-30	0	0.013635383
1915-07-31	0	-0.041847186
1915-08-01	0	-0.099448933
1915-08-02	0	-0.136027757
1915-08-03	0	-0.185113647
1915-08-04	0	-0.210272207
1915-08-05	0	-0.282911391
1915-08-06	0	-0.317758122
1915-08-07	0	-0.382202085
1915-08-08	0	-0.395911363
1915-08-09	0	-0.419971507
1915-08-10	0	-0.433415758
1915-08-11	0	-0.465781043
1915-08-12	0	-0.500079679
1915-08-13	0	-0.534715176
1915-08-14	0	-0.558791238
1915-08-15	0	-0.570593463
1915-08-16	0	-0.570593463
1915-08-17	0	-0.570593463
1915-08-18	0	-0.570593463
1915-08-19	0	-0.570593463
1915-08-20	0	-0.570593463
1915-08-21	0	-0.570593463
1915-08-22	0	-0.570593463
1915-08-23	0	-0.570593463
1915-08-24	0	-0.683593435
1915-08-25	0	-0.78351546
1915-08-26	0	-0.946366782
1915-08-27	0	-0.967872987
1915-08-28	0	-1.012324749
1915-08-29	0	-1.023753445
1915-08-30	0	-1.047010307
1915-08-31	0	-1.118632683
1915-09-01	0	-1.160574314
1915-09-02	0	-1.182223786
1915-09-03	0	-1.157284838
1915-09-04	0	-1.134556587
1915-09-05	0	-1.11233345
1915-09-06	0	-1.090593463
1915-09-07	0	-1.067813435
1915-09-08	0	-1.045540799
1915-09-09	0	-1.078379571
1915-09-10	0	-1.070820956
1915-09-11	0	-1.095212409
1915-09-12	0	-1.058844765
1915-09-13	0	-1.095212409
1915-09-14	0	-0.943710737
1915-09-15	0	-0.892019644
1915-09-16	0	-0.862240769
1915-09-17	0	-0.898336785
1915-09-18	0	-0.950364122
1915-09-19	0	-0.982931451
1915-09-20	0	-1.058844765
1915-09-21	0	-0.96110248
1915-09-22	0	-1.081419087
1915-09-23	0	-1.144234082
1915-09-24	0	-1.292459616
1915-09-25	0	-1.107634929
1915-09-26	0	-1.035314268
1915-09-27	0	-1.023753445
1915-09-28	0	-1.035314268
1915-09-29	0	-1.107634929
1915-09-30	0	-1.132952737
1915-10-01	1	-1.183908706
1915-10-02	1	-1.195783316
1915-10-03	1	-1.219964114
1915-10-04	1	-1.219964114
1915-10-05	1	-1.219964114
1915-10-06	1	-1.195783316
1915-10-07	1	-1.157284838
1915-10-08	1	-1.145856142
1915-10-09	1	-1.120213711
1915-10-10	1	-1.16884566
1915-10-11	1	-1.142614648
1915-10-12	1	-1.092130743
1915-10-13	1	-1.035314268
1915-10-14	1	-1.035314268
1915-10-15	1	-1.095212409
1915-10-16	1	-1.095212409
1915-10-17	1	-1.095212409
1915-10-18	1	-1.095212409
1915-10-19	1	-1.107634929
1915-10-20	1	-1.107634929
1915-10-21	1	-1.107634929
1915-10-22	1	-1.070820956
1915-10-23	1	-1.047010307
1915-10-24	1	-0.978802057
1915-10-25	1	-0.903419388
1915-10-26	1	-0.945037878
1915-10-27	1	-0.977429373
1915-10-28	1	-1.070820956
1915-10-29	1	-1.001025194
1915-10-30	1	-0.957062071
1915-10-31	1	-0.914950585
1915-11-01	1	-0.86468875
1915-11-02	1	-0.86468875
1915-11-03	1	-0.894541714
1915-11-04	1	-0.989851893
1915-11-05	1	-0.989851893
1915-11-06	1	-1.012324749
1915-11-07	1	-0.850089951
1915-11-08	1	-0.6376313
1915-11-09	1	-0.436605554
1915-11-10	1	-0.356808637
1915-11-11	1	-0.373915785
1915-11-12	1	-0.391320689
1915-11-13	1	-0.409033898
1915-11-14	1	-0.427857983
1915-11-15	1	-0.447043224
1915-11-16	1	-0.46660375
1915-11-17	1	-0.485715258
1915-11-18	1	-0.505199144
1915-11-19	1	-0.525070208
1915-11-20	1	-0.527691442
1915-11-21	1	-0.512927821
1915-11-22	1	-0.480694327
1915-11-23	1	-0.382958801
1915-11-24	1	-0.316340687
1915-11-25	1	-0.28978427
1915-11-26	1	-0.310690955
1915-11-27	1	-0.352393619
1915-11-28	1	-0.380690369
1915-11-29	1	-0.464137657
1915-11-30	1	-0.520716697
1915-12-01	1	-0.439004595
1915-12-02	1	0.887277947
1915-12-03	1	1.110208935
1915-12-04	1	1.190094645
1915-12-05	1	0.544023999
1915-12-06	1	0.288377681
1915-12-07	1	0.202807151
1915-12-08	1	0.232697296
1915-12-09	1	0.26171989
1915-12-10	1	0.252540021
1915-12-11	1	1.1523362
1915-12-12	1	1.934951111
1915-12-13	1	2.063887199
1915-12-14	1	1.845809432
1915-12-15	1	1.004470419
1915-12-16	1	0.652375842
1915-12-17	1	0.480962317
1915-12-18	1	0.35858194
1915-12-19	1	0.240438219
1915-12-20	1	0.134807104
1915-12-21	1	0.09336471
1915-12-22	1	0.098522986
1915-12-23	1	0.138858426
1915-12-24	1	0.153574411
1915-12-25	1	0.133904577
1915-12-26	1	0.072941297
1915-12-27	1	0.019726773
1915-12-28	1	-0.024770997
1915-12-29	1	-0.104020369
1915-12-30	1	-0.208999132
1915-12-31	1	-0.242637492
1916-01-01	1	2.041354768
1916-01-02	1	2.800003478
1916-01-03	1	2.937880406
1916-01-04	1	2.596364022
1916-01-05	1	1.746497777
1916-01-06	1	1.484583456
1916-01-07	1	1.953124028
1916-01-08	1	2.654291667
1916-01-09	1	2.745168717
1916-01-10	1	2.560722889
1916-01-11	1	1.81770841
1916-01-12	1	2.025138197
1916-01-13	1	2.25534124
1916-01-14	1	2.369268849
1916-01-15	1	2.138977651
1916-01-16	1	2.383174611
1916-01-17	1	2.499898886
1916-01-18	1	2.562714525
1916-01-19	1	2.229579333
1916-01-20	1	1.959690998
1916-01-21	1	1.915073932
1916-01-22	1	2.423768008
1916-01-23	1	3.011148148
1916-01-24	1	3.293734668
1916-01-25	1	3.238602598
1916-01-26	1	2.978866456
1916-01-27	1	2.720326889
1916-01-28	1	2.590962774
1916-01-29	1	2.412733413
1916-01-30	1	2.215600911
1916-01-31	1	2.080781688
1916-02-01	1	2.080781688
1916-02-02	1	2.511274614
1916-02-03	1	2.896283341
1916-02-04	1	3.037481958
1916-02-05	1	2.978866456
1916-02-06	1	2.85317824
1916-02-07	1	2.822964462
1916-02-08	1	2.832124831
1916-02-09	1	2.968312268
1916-02-10	1	3.061933054
1916-02-11	1	3.078699914
1916-02-12	1	2.913802862
1916-02-13	1	2.766816003
1916-02-14	1	2.657916172
1916-02-15	1	2.625560409
1916-02-16	1	2.604411584
1916-02-17	1	2.582805806
1916-02-18	1	2.560722889
1916-02-19	1	2.582805806
1916-02-20	1	2.583585533
1916-02-21	1	2.563112377
1916-02-22	1	2.519202884
1916-02-23	1	2.462777662
1916-02-24	1	2.42787479
1916-02-25	1	2.740516
1916-02-26	1	2.998617617
1916-02-27	1	3.120566494
1916-02-28	1	3.01241799
1916-02-29	1	2.910997811
1916-03-01	1	2.844209571
1916-03-02	1	2.775859993
1916-03-03	1	2.99707242
1916-03-04	1	3.078699914
1916-03-05	1	3.092851094
1916-03-06	1	2.807508204
1916-03-07	1	2.677974151
1916-03-08	1	2.646271208
1916-03-09	1	2.733831483
1916-03-10	1	2.897422942
1916-03-11	1	3.035003642
1916-03-12	1	3.076321792
1916-03-13	1	3.017481292
1916-03-14	1	2.946863725
1916-03-15	1	2.910997811
1916-03-16	1	2.910997811
1916-03-17	1	3.01241799
1916-03-18	1	3.441295539
1916-03-19	1	3.641365001
1916-03-20	1	3.68115805
1916-03-21	1	3.426307748
1916-03-22	1	3.193046066
1916-03-23	1	3.037481958
1916-03-24	1	2.891139003
1916-03-25	1	2.801258183
1916-03-26	1	2.749799886
1916-03-27	1	2.739849555
1916-03-28	1	2.749799886
1916-03-29	1	2.749799886
1916-03-30	1	2.739849555
1916-03-31	1	2.753094782
1916-04-01	1	2.785460066
1916-04-02	1	2.816810596
1916-04-03	1	2.816810596
1916-04-04	1	2.826027251
1916-04-05	1	2.85317824
1916-04-06	1	2.891139003
1916-04-07	1	2.965656224
1916-04-08	1	3.027531628
1916-04-09	1	3.118285991
1916-04-10	1	3.109111615
1916-04-11	1	3.030028508
1916-04-12	1	2.865012698
1916-04-13	1	2.804388076
1916-04-14	1	2.844209571
1916-04-15	1	2.899698256
1916-04-16	1	2.882505856
1916-04-17	1	2.804388076
1916-04-18	1	2.723042437
1916-04-19	1	2.699027561
1916-04-20	1	2.743177345
1916-04-21	1	2.813719404
1916-04-22	1	2.882505856
1916-04-23	1	2.938700414
1916-04-24	1	2.99190445
1916-04-25	1	3.027531628
1916-04-26	1	3.059514673
1916-04-27	1	3.044880266
1916-04-28	1	2.976238333
1916-04-29	1	2.894000235
1916-04-30	1	2.873797528
1916-05-01	0	2.930469915
1916-05-02	0	3.037481958
1916-05-03	0	3.118285991
1916-05-04	0	3.203583571
1916-05-05	0	3.165117291
1916-05-06	0	3.071548513
1916-05-07	0	2.927711292
1916-05-08	0	2.862067188
1916-05-09	0	2.832124831
1916-05-10	0	2.791809294
1916-05-11	0	2.720326889
1916-05-12	0	2.648464993
1916-05-13	0	2.593667045
1916-05-14	0	2.593667045
1916-05-15	0	2.615041905
1916-05-16	0	2.657916172
1916-05-17	0	2.67868312
1916-05-18	0	2.668711527
1916-05-19	0	2.647003005
1916-05-20	0	2.647003005
1916-05-21	0	2.657192322
1916-05-22	0	2.606699042
1916-05-23	0	2.492669426
1916-05-24	0	2.35467715
1916-05-25	0	2.248281748
1916-05-26	0	2.212781625
1916-05-27	0	2.289909957
1916-05-28	0	2.392181546
1916-05-29	0	2.462777662
1916-05-30	0	2.451278199
1916-05-31	0	2.415964434
1916-06-01	0	2.40391051
1916-06-02	0	2.462777662
1916-06-03	0	2.564702202
1916-06-04	0	2.6586395
1916-06-05	0	2.719646848
1916-06-06	0	2.749799886
1916-06-07	0	2.744505367
1916-06-08	0	2.703185571
1916-06-09	0	2.620314986
1916-06-10	0	2.53036233
1916-06-11	0	2.475015577
1916-06-12	0	2.461017098
1916-06-13	0	2.489249158
1916-06-14	0	2.486676257
1916-06-15	0	2.453499928
1916-06-16	0	2.386502401
1916-06-17	0	2.314691814
1916-06-18	0	2.237322734
1916-06-19	0	2.153461911
1916-06-20	0	2.06191934
1916-06-21	0	1.961144486
1916-06-22	0	1.887315789
1916-06-23	0	1.85796025
1916-06-24	0	1.85796025
1916-06-25	0	1.867575709
1916-06-26	0	1.85796025
1916-06-27	0	1.839268117
1916-06-28	0	1.755458411
1916-06-29	0	1.663976753
1916-06-30	0	1.609746599
1916-07-01	0	1.616944574
