Q	forecast	logq	logforecast		
5.980087862	13.51242831	1.788435261	2.603609878		13.51242831
4.979033567	11.69566996	1.605235809	2.459218684		
4.155837745	10.57117067	1.424514031	2.358130547		
4.163508385	9.854440333	1.426358081	2.287922149		
6.016648853	9.377830589	1.794530435	2.238348456		
9.153223511	9.072129189	2.214106113	2.205206987		
21.16279244	10.58514268	3.052244566	2.359451384		
43.7536859	14.35342628	3.778575858	2.663988679		
79.32129404	19.87297426	4.373506618	2.989360731		
103.1731832	58.47226562	4.636408967	4.06855255		
105.6540974	118.8722099	4.660170526	4.77804905		
83.39175102	164.2201151	4.423549396	5.101207693		
59.25425592	146.1328257	4.081837607	4.984515973		
41.88712531	104.3054665	3.734978508	4.647323772		
32.18109962	73.95587109	3.471379312	4.303468579		
25.19944132	55.15729354	3.226821824	4.010188986		
19.6727241	41.94981549	2.979233113	3.736474034		
16.33980976	32.51360971	2.793604447	3.481658762		
13.94569566	26.47193674	2.635170906	3.276085181		
12.01682376	22.82591646	2.486307648	3.127896577		
10.70224821	20.58841711	2.370453832	3.024728641		
9.980878333	19.17949726	2.300671096	2.953841857		
9.82226098	18.25844099	2.284651338	2.904627493		
9.760078619	17.62513162	2.278300456	2.869325817		
9.547967516	17.1632865	2.256328306	2.842772597		
9.025446424	17.17694108	2.200047968	2.84356785		
8.4423918	17.71736617	2.133265657	2.874545298		
8.05726835	17.80435983	2.086574585	2.879443361		
7.966439378	17.13484915	2.07523764	2.841114352		
7.993709579	16.58147491	2.07865493	2.808286103		
7.870764284	16.16972691	2.063155171	2.783140785		
7.575021705	15.84262078	2.024856217	2.762703826		
7.134827364	15.56645219	1.964988055	2.745118098		
6.818538941	15.32111975	1.919645217	2.729232253		
6.613955102	15.09419075	1.889181826	2.714309951		
6.627747916	14.87876968	1.891265066	2.699935344		
6.643261247	14.67126009	1.893602995	2.685890484		
6.653125546	14.46910681	1.895086751	2.672015812		
6.529707108	14.27118117	1.876362089	2.658242201		
6.574497907	14.0766097	1.883198211	2.644514533		
7.214487315	13.88501624	1.976091132	2.630810291		
9.209943235	13.69678255	2.220283687	2.617160955		
13.56477315	14.62494011	2.607476223	2.682728298		
21.29455539	18.15605932	3.058451424	2.899004352		
34.16674865	23.14433888	3.531252909	3.14175021		
46.41303207	40.2482643	3.837580283	3.69506688		
55.42646355	70.54969476	4.015057161	4.256317352		
53.73935299	110.743913	3.984145563	4.707220445		
47.81575542	132.4265593	3.867355196	4.886028222		
37.58733764	134.6562605	3.626667229	4.902725313		
29.57309654	104.3632408	3.386865047	4.647877513		
22.74746046	74.48352826	3.124453511	4.310578004		
18.76169585	53.1548475	2.931817337	3.973209305		
17.01945707	39.60955558	2.834357223	3.679070392		
16.76601055	31.54337963	2.819353656	3.451363729		
17.47893557	26.80920991	2.860996474	3.288745482		
17.328462	25.68472037	2.852350352	3.245896277		
16.74701319	25.05386023	2.818219926	3.221027917		
15.84223618	24.31016821	2.762679549	3.190894708		
16.44979384	22.7852192	2.800312944	3.126112045		
17.87043928	23.24528353	2.883147911	3.146102253		
19.77576877	24.93645483	2.984457389	3.216330782		
20.33701584	27.69651614	3.012442666	3.321306634		
19.11759923	29.97713453	2.950609336	3.400434909		
16.93145265	30.20303451	2.829172995	3.4079424		
