date,obs,Average_3day_ahead,error10,error30
10/1/1904,2.836363632,2.836363632,2.743096471,3.351714941
10/2/1904,2.836363632,2.836363632,3.026409997,3.46377755
10/3/1904,2.836363632,2.836363632,2.714942649,2.774810378
10/4/1904,2.836363632,2.836363632,3.035340023,3.503249377
10/5/1904,2.836363632,2.836363632,2.931173289,2.881531212
10/6/1904,2.836363632,2.836363632,2.681113642,2.640119857
10/7/1904,2.836363632,2.836363632,2.903106812,2.98171016
10/8/1904,2.836363632,2.836363632,2.606272825,3.430324182
10/9/1904,2.836363632,2.836363632,2.559345981,2.383794072
10/10/1904,2.836363632,2.836363632,2.989482747,3.598327061
10/11/1904,2.836363632,2.836363632,2.586173445,2.664125615
10/12/1904,2.836363632,2.836363632,2.689627769,2.899916275
10/13/1904,2.836363632,2.836363632,2.583097512,3.086841495
10/14/1904,2.836363632,2.836363632,2.857314083,2.877045852
10/15/1904,2.836363632,2.836363632,2.784366918,2.226062539
10/16/1904,2.836363632,2.836363632,3.086023575,2.032317086
10/17/1904,2.836363632,2.836363632,2.742552423,3.487110631
10/18/1904,2.836363632,2.836363632,2.910452042,2.209095569
10/19/1904,2.836363632,2.836363632,2.554657157,2.566056409
10/20/1904,2.836363632,2.836363632,2.625397451,3.683586327
10/21/1904,2.836363632,2.836363632,2.811170934,3.121622977
10/22/1904,2.836363632,2.836363632,2.79418404,2.291744404
10/23/1904,2.836363632,2.836363632,3.076988972,3.276172281
10/24/1904,2.836363632,2.836363632,2.739561457,2.097138988
10/25/1904,2.836363632,2.836363632,2.71653239,2.064225679
10/26/1904,2.836363632,2.836363632,2.729790325,3.485796513
10/27/1904,2.836363632,2.836363632,2.585240091,3.285028461
10/28/1904,2.836363632,2.836363632,3.010059779,2.040821573
10/29/1904,2.836363632,2.552066112,2.541766818,2.642170282
10/30/1904,2.836363632,2.433057847,2.660928777,1.786177599
10/31/1904,2.836363632,2.214876029,2.169342234,2.261166864
11/1/1904,1.983471071,2.24132231,2.234434228,1.615961782
11/2/1904,2.479338839,2.069421484,1.969878703,1.66984689
11/3/1904,2.181818178,1.996694211,1.996100821,2.591633767
11/4/1904,2.062809914,1.897520658,1.919673831,1.839825695
11/5/1904,1.96363636,1.765289253,1.928091128,1.454125392
11/6/1904,1.96363636,1.633057848,1.76977845,1.523024661
11/7/1904,1.765289253,1.507438014,1.465104782,1.408918175
11/8/1904,1.566942146,1.447933882,1.526014942,1.507786241
11/9/1904,1.566942146,1.38842975,1.525002093,1.272708925
11/10/1904,1.38842975,1.418181816,1.437890394,1.425091892
11/11/1904,1.38842975,1.54380165,1.496942196,1.746265991
11/12/1904,1.38842975,1.702479336,1.786481806,1.557246435
11/13/1904,1.477685948,1.897520658,1.840382698,1.710967547
11/14/1904,1.765289253,1.96363636,1.996195755,1.792916407
11/15/1904,1.864462807,1.864462807,2.037418499,2.401624531
11/16/1904,2.062809914,1.798347104,1.950040004,1.579160182
11/17/1904,1.96363636,1.732231402,1.721283075,1.28314715
11/18/1904,1.566942146,1.765289253,1.723772287,1.244538235
11/19/1904,1.864462807,1.6661157,1.675162892,1.683866308
11/20/1904,1.765289253,1.633057849,1.670420963,1.517394573
11/21/1904,1.6661157,1.633057849,1.555182985,1.694384813
11/22/1904,1.566942146,1.732231402,1.667502299,1.422428594
11/23/1904,1.6661157,1.765289253,1.710942449,1.741007112
11/24/1904,1.6661157,1.798347104,1.9718533,1.590809011
11/25/1904,1.864462807,1.831404955,1.76541134,1.800253891
11/26/1904,1.765289253,1.897520658,2.044212071,1.538868109
11/27/1904,1.765289253,2.208264459,2.102878278,1.810428601
11/28/1904,1.96363636,2.452892558,2.303294696,2.36789693
11/29/1904,1.96363636,2.909090904,2.820037458,2.317255538
11/30/1904,2.697520657,2.942148755,3.159755265,2.200574954
12/1/1904,2.697520657,2.664462805,2.779268926,2.407795793
12/2/1904,3.332231399,2.208264459,2.213579905,2.701229127
12/3/1904,2.79669421,1.831404956,1.924986325,1.586533615
12/4/1904,1.864462807,1.765289253,1.647741044,1.628117688
12/5/1904,1.96363636,1.699173551,1.774336993,1.535955223
12/6/1904,1.6661157,1.699173551,1.733962115,1.558635708
12/7/1904,1.6661157,1.699173551,1.561247259,2.076026654
12/8/1904,1.765289253,1.699173551,1.856222918,2.182981471
12/9/1904,1.6661157,1.765289253,1.824202226,2.257360344
12/10/1904,1.6661157,1.864462807,1.706644423,2.081799673
12/11/1904,1.765289253,1.831404956,1.680935771,2.140322197
12/12/1904,1.864462807,1.732231402,1.566056591,1.954023546
12/13/1904,1.96363636,1.633057849,1.735976461,1.216095601
12/14/1904,1.6661157,1.732231402,1.560804573,1.62284249
12/15/1904,1.566942146,1.798347104,1.775781453,2.283111215
12/16/1904,1.6661157,1.705785121,1.555413932,2.114589763
12/17/1904,1.96363636,1.67272727,1.833397202,1.924547063
12/18/1904,1.765289253,1.705785121,1.706011581,1.210822898
12/19/1904,1.38842975,2.029752063,2.050121403,2.482999916
12/20/1904,1.864462807,2.062809914,1.87255302,1.828752571
12/21/1904,1.864462807,2.062809914,2.230507771,1.608191928
12/22/1904,2.360330575,1.930578509,1.909551742,1.905356482
12/23/1904,1.96363636,1.831404956,1.835135324,1.869105377
12/24/1904,1.864462807,1.732231402,1.714622307,2.000343073
12/25/1904,1.96363636,1.540495865,1.491912639,1.790958426
12/26/1904,1.6661157,1.573553716,1.623569752,1.943248987
12/27/1904,1.566942146,2.51239669,2.736494443,1.827650244
12/28/1904,1.38842975,9.719008247,9.093525451,10.36728958
12/29/1904,1.765289253,13.77851237,12.82579629,12.70677
12/30/1904,4.383471067,15.70247931,14.77019756,14.98965786
12/31/1904,23.00826442,9.844628082,9.938453992,10.78506264
1/1/1905,13.94380163,6.7305785,7.154313363,5.26106605
1/2/1905,10.15537188,4.74710743,4.688246708,3.492486412
